MeasuredParameterId	DateTime	Value	EcomonMonitoringPoint	Ecomontimestamp_ms	KazHydrometAirPostId	MaxValueDay	MaxValueMonth	Month	Year	MaxValuePerMonth	MaxValuePerYear
13		0.0725			1	15		6	2010	0.2	
13		0.08173913			1	20		5	2010	0.19	
13		0.128086957			1	16		3	2010	0.28	
13		0.1097			1	26		11	2010	0.22	
13		0.104134615			1	9		10	2010	0.22	
13		0.063076923			1	29		9	2010	0.15	
13		0.145760417			1	18		2	2010	0.37	
13		0.142840909			1	14		1	2010	0.31	
13		0.095865385			1	25		4	2011	0.2	
13		0.1007			1	14		12	2011	0.16	
13		0.03			1	5		7	2011	0.15	
13		0.058076923			1	1		6	2011	0.12	
13		0.069791667			1	6		5	2011	0.15	
13		0.127826087			1	3		3	2011	0.23	
13		0.075384615			1	30		11	2011	0.11	
13		0.087288462			1	13		10	2011	0.18	
13		0.080961538			1	17		9	2011	0.17	
13		0.121145833			1	12		2	2011	0.23	
13		0.13923913			1	10		1	2011	0.23	
13		0.094134615			1	17		8	2012	0.17	
13		0.1031			1	20		4	2012	0.19	
13		0.178586957			1	31		12	2012	0.35	
13		0.1022			1	2		7	2012	0.2	
13		0.101057692			1	29		6	2012	0.2	
13		0.0977			1	29		5	2012	0.2	
13		0.105869565			1	20		3	2012	0.18	
13		0.133365385			1	9		11	2012	0.31	
13		0.119423077			1	31		10	2012	0.27	
13		0.0993			1	28		9	2012	0.21	
13		0.1155			1	18		2	2012	0.16	
13		0.110434783			1	24		1	2012	0.16	
13		0.09125			1	16		8	2013	0.21	
13		0.141826923			1	20		4	2013	0.35	
13		0.161413043			1	9		12	2013	0.8	
13		0.103365385			1	17		7	2013	0.32	
13		0.1041			1	3		6	2013	0.22	
13		0.109270833			1	17		5	2013	0.34	
13		0.196477273			1	30		3	2013	0.49	
13		0.155769231			1	25		11	2013	0.41	
13		0.164711538			1	21		10	2013	0.37	
13		0.1288			1	25		9	2013	0.4	
13		0.1740625			1	19		2	2013	0.4	
13		0.220208333			1	11		1	2013	0.43	
13		0.1045			1	5		8	2014	0.29	
13		0.100288462			1	1		4	2014	0.17	
13		0.229479167			1	31		12	2014	0.4	
13		0.095673077			1	22		7	2014	0.39	
13		0.0938			1	24		6	2014	0.32	
13		0.089375			1	29		5	2014	0.21	
13		0.183409091			1	6		3	2014	0.39	
13		0.133			1	22		11	2014	0.31	
13		0.146346154			1	1		10	2014	0.3	
13		0.132211538			1	26		9	2014	0.34	
13		0.183020833			1	12		2	2014	0.38	
